replySeq,title,name,content,memberId,memberIcon,memberUrl,memberDomain,good,bad,site,email,ipAddress,offset,location,isMobile,deleteReason
40881688,빗 속 마스크 구매행렬 | 연합뉴스,kh,줄설때는 코로나가 잠시 휴무상태로 들어가나.... 이게 이 정부의 행정력이라니 분오와 깊은 슬픔이 몰려 옵니다 .배달의민족 택배천국 나라에소  전 국민을 줄세우다니... 나와 우리가족은 마스크 외국 구매대행해서 저렴하게 씁니다.  면마크에 정전기부직포 그리고 얼굴닿는 부분은 100% 실크처리하는데 공적마스크보다 비싸도 수백번 쓸수 있고 정전기 부직포만 바꾸면 됩니다,159630141,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/woorihard2,naver,0,0,https://www.yna.co.kr/view/PYH20200310095800013,,211.44.176.194,1,South Korea,1,
40876449,[뉴스피처] 서울 사는데 경기도청 재난문자는 왜? | 연합뉴스,이이안,"조금더 넓은 마음가지세요. 알려줘서 고맙다 생각하셔요.
한국은 큰나라 아닙니다.",65956314,https://phinf.pstatic.net/contact/20200108_12/1578483386659bxo1m_JPEG/1.jpg,http://blog.naver.com/myoungkool,naver,1,0,https://www.yna.co.kr/view/MYH20200309020100797,,223.38.24.231,1,South Korea,1,
40894310,"우한 첫 방문 시진핑…""코로나19 형세 전환, 보위전 승리해야"" | 연합뉴스",미투리,"시진핑 쇼하느라 애쓴다.
하여간 빨갱이들이 할수 있는짓은 선전선동 뿐이지.
지 목이 언제 날라갈지도  모르는  판국에.",71531104,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/ptntspiqxq,naver,0,0,https://www.yna.co.kr/view/IPT20200311000001365,,114.129.221.24,1,South Korea,1,
40864698,"수고하셨습니다'…우한시, 코로나19 퇴원환자 늘어 야전병원 11곳 휴원 | 연합뉴스",kky****,저렇게해도 치료가 되는구만! 음압병실이나 1인실은 꼭 필요한 위급환자에게 내어주고 경증에 젊은 헌천지들은 당장 야전병원 꼬려서 끌어모아서 치료하라! 지금당장!,51927110,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/kky0959,naver,0,0,https://www.yna.co.kr/view/IPT20200309000005365,,223.62.222.192,1,South Korea,1,
40896238,"""힘내요 대구"" 달빛고속도로 타고 광주서 출발한 장어도시락 | 연합뉴스",-,감사합니다^^~,54541239,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/pk0059,naver,0,0,https://www.yna.co.kr/view/AKR20200311089600054,,125.143.66.181,1,South Korea,1,
40896217,"""힘내요 대구"" 달빛고속도로 타고 광주서 출발한 장어도시락 | 연합뉴스",claire,"정말 광주를 생각하면 눈물이 납니다.
5.18때 얼마나 외롭고 막막했을까.
감사합니다.
당신들의 아픔을 이렇게 승화시켜주셔서.",79801504,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/dodomi2142,naver,0,0,https://www.yna.co.kr/view/AKR20200311089600054,,203.243.23.66,1,South Korea,0,
40896096,"박원순 ""콜센터 집단감염, 대구·경북과 같지 않게 하겠다"" | 연합뉴스",답답한맘,"박원순이 신천지...를 거의 혐오수준이군요... 여기에다가 권력을 휘두르니... 이런게 독재인 겁니다. 

신천지는 없어져야 할 단체이지만... 
종교자유가 있는 나라에서 권력 가진 자가 여론을 등에 업고 이렇게 폭주하는 것은 아주 위험한 겁니다. 
거의 인민재판이 되는 거죠.",149647937,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/anti_rocketman,naver,0,0,https://www.yna.co.kr/view/AKR20200311089300004,,211.51.38.72,1,South Korea,0,
40895795,"정부, 콜센터 등 밀집사업장에 재택근무·증상자 업무배제 권고 | 연합뉴스",스티브 리(스테파노),미리 미리 좀 생각을 못하는 지. 신천지가 그래서 집단 감염이 생겼으면 그와 유사하고 다수가 모이는 것은 강력한 통제를 해야지 뒷북만 치는. 그런 시스템은 이젠 그만.,478722553,http://mud-kage.kakao.co.kr/14/dn/btqgXTqDQFP/PpXo4xM0zKKIH2iYoWZrGk/o.jpg,https://story.kakao.com/_CUtVR5,kakao,0,0,https://www.yna.co.kr/view/AKR20200311085200017,,72.136.120.127,1,Canada,1,
40895851,"폐쇄된 병원서 쪽잠 자며 버틴 간호사…""흔들리지 않으려 노력"" | 연합뉴스",이 데레사,"아  정말  목이 메인다  이렇게들  고생하고 계시니

눈물이 앞을 가리네요

하느님의 의노가 우리나라와 온 세상에 서 거두우주시기를 아멘

신천지 신도들도  아픈 고통을 치루어낸  회수 만큼

부디 영적으로 눈을 뜨고 영적으로 귀가 열려  지혜의 은총
분별의 은총을 내려 주시어  가예언을 알아 보고

참 하느님 께로 돌아 서게 해주세요 아멘",1126903922,http://k.kakaocdn.net/dn/czXJKg/btqwQkT5Gfa/ZkHk9u6d9drRX0QpihUet0/profile_640x640s.jpg,https://story.kakao.com/_j70G69,kakao,0,0,https://www.yna.co.kr/view/AKR20200311081800051,,125.185.11.8,1,South Korea,0,
40895990,"김진태, 춘천갑 선거구 출마 선언…""제자리 돌려놓겠다"" | 연합뉴스",Pundit Smith,"이런 구역질 나는 인간이 춘천시민을 아직도 엿같이 본다는 증거.
역겹다.",111238906794037,https://graph.facebook.com/111238906794037/picture,https://www.facebook.com/111238906794037,facebook,0,0,https://www.yna.co.kr/view/AKR20200311080900062,,69.174.154.33,1,United States,0,
